player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
granc001,Curtis Granderson,6127,0.1307,0.2553,0.1603,0.2773,0.3152,0.2593,1         
uptob001,Melvin Upton,5174,0.1133,0.2435,0.1422,0.3226,0.2472,0.3015,2         
heisc001,Chris Heisey,1520,0.1138,0.2421,0.1625,0.2882,0.3105,0.2579,6         
beltc001,Carlos Beltran,8580,0.1656,0.2805,0.1444,0.3383,0.2965,0.1816,3         
janip001,Paul Janish,1146,0.0733,0.2155,0.1754,0.3316,0.3517,0.1579,8         
escoa003,Alcides Escobar,4223,0.0838,0.2617,0.1897,0.4447,0.2465,0.1421,9         
semim001,Marcus Semien,1424,0.1088,0.2458,0.2072,0.2949,0.2493,0.2549,2         
barnb002,Brandon Barnes,1153,0.0867,0.242,0.1752,0.3504,0.1873,0.3062,8         
wongk001,Kolten Wong,1331,0.0947,0.2479,0.2224,0.3997,0.2179,0.1728,2         
altuj001,Jose Altuve,3361,0.0958,0.3112,0.213,0.4415,0.2478,0.1125,1         
genns001,Scooter Gennett,1526,0.1048,0.2792,0.2333,0.3735,0.2156,0.1907,2         
pagaa001,Angel Pagan,4083,0.1014,0.2799,0.2084,0.3639,0.2851,0.156,1         
carpm002,Matt Carpenter,2579,0.1299,0.2842,0.2482,0.304,0.2555,0.2074,1         
fowld001,Dexter Fowler,3734,0.0908,0.2681,0.1824,0.3382,0.2341,0.2608,1         
rabur001,Ryan Raburn,2408,0.1462,0.2529,0.1433,0.3144,0.2795,0.2737,6         
puigy001,Yasiel Puig,1556,0.1247,0.2873,0.1767,0.3895,0.2089,0.232,2         
parrg001,Gerardo Parra,3694,0.0947,0.2742,0.1911,0.445,0.1925,0.1865,1         
bryak001,Kris Bryant,1162,0.173,0.284,0.1945,0.2332,0.2762,0.3038,3         
simma001,Andrelton Simmons,2295,0.0924,0.2606,0.2017,0.4758,0.2366,0.0967,8         
martv001,Victor Martinez,6438,0.1673,0.3007,0.1879,0.3855,0.3159,0.121,4         
suare001,Eugenio Suarez,1181,0.1194,0.2566,0.1998,0.3074,0.2388,0.2676,7         
johnc003,Chris Johnson,2811,0.1206,0.275,0.1949,0.3383,0.2063,0.2679,6         
cozaz001,Zack Cozart,2329,0.0932,0.246,0.1924,0.3809,0.2679,0.1773,1         
byrdm001,Marlon Byrd,5579,0.1273,0.275,0.1758,0.3673,0.2466,0.2212,5         
uribj002,Juan Uribe,6160,0.1325,0.2545,0.1339,0.3347,0.3166,0.1985,7         
deaza001,Alejandro de Aza,2513,0.0991,0.2614,0.197,0.3418,0.2356,0.2411,1         
aybae001,Erick Aybar,4842,0.0931,0.2734,0.1677,0.4839,0.2443,0.1266,1         
hollm001,Matt Holliday,6583,0.1751,0.3031,0.1794,0.3754,0.2654,0.1868,3         
schoj001,Jonathan Schoop,1389,0.1202,0.2505,0.1692,0.3607,0.2325,0.2448,8         
crawc002,Carl Crawford,6655,0.1151,0.2902,0.1678,0.423,0.2518,0.1603,2         
lagaj001,Juan Lagares,1391,0.0942,0.2588,0.1704,0.4062,0.2279,0.2135,1         
bourm001,Michael Bourn,4784,0.0757,0.2659,0.1584,0.4411,0.181,0.2349,1         
hosme001,Eric Hosmer,3388,0.1393,0.2774,0.1682,0.4478,0.2122,0.18,4         
harpb003,Bryce Harper,2336,0.143,0.2787,0.2051,0.3378,0.2286,0.2423,3         
owinc001,Chris Owings,1317,0.0934,0.2544,0.2126,0.3675,0.1997,0.2339,7         
alvap001,Pedro Alvarez,2837,0.1586,0.2376,0.1399,0.331,0.2147,0.3194,6         
presa001,Alex Presley,1156,0.0787,0.2526,0.1566,0.436,0.2154,0.2016,1         
ethia001,Andre Ethier,4766,0.1435,0.2851,0.189,0.3468,0.2793,0.1947,3         
hecha001,Adeiny Hechavarria,2183,0.0811,0.2542,0.2116,0.4462,0.1883,0.1672,8         
rasmc001,Colby Rasmus,3538,0.132,0.2405,0.1529,0.2583,0.3041,0.2945,2         
gatte001,Evan Gattis,1736,0.1596,0.25,0.1717,0.3283,0.2644,0.2442,4         
reyej001,Jose Reyes,6823,0.0945,0.289,0.1809,0.4095,0.3049,0.1167,1         
donaj001,Josh Donaldson,2690,0.1673,0.2781,0.1877,0.3483,0.2651,0.21,2         
navad001,Dioner Navarro,3207,0.1144,0.2501,0.1905,0.3589,0.3081,0.1615,8         
yelic001,Christian Yelich,1876,0.113,0.2926,0.2036,0.4755,0.0912,0.2356,3         
ortid001,David Ortiz,8292,0.2069,0.2869,0.1517,0.2905,0.3344,0.1985,3         
bautj002,Jose Bautista,5139,0.1677,0.2551,0.1481,0.3152,0.3347,0.2166,3         
cespy001,Yoenis Cespedes,2728,0.1661,0.2724,0.1924,0.3017,0.2885,0.2258,4         
freef001,Freddie Freeman,3298,0.1562,0.2878,0.2213,0.2874,0.2532,0.2468,3         
castw002,Welington Castillo,1722,0.1336,0.2544,0.2033,0.3159,0.2154,0.2758,6         
pears001,Steve Pearce,1639,0.1312,0.2538,0.1574,0.3051,0.3234,0.2251,5         
espid001,Danny Espinosa,2644,0.1078,0.2262,0.1415,0.326,0.23,0.3154,7         
cronc002,C.J. Cron,1027,0.1529,0.2668,0.2191,0.3301,0.2463,0.2123,5         
cervf001,Francisco Cervelli,1465,0.1147,0.2799,0.1891,0.4184,0.2068,0.2055,7         
morem001,Mitch Moreland,2496,0.1418,0.2536,0.1723,0.3417,0.2628,0.236,7         
mcgec001,Casey McGehee,2798,0.1358,0.2577,0.1615,0.4099,0.2548,0.1848,5         
joycm001,Matthew Joyce,2660,0.1414,0.2425,0.156,0.3023,0.3038,0.2508,3         
davir003,Rajai Davis,3687,0.0957,0.2666,0.1679,0.3849,0.2666,0.192,1         
seguj002,Jean Segura,2449,0.0849,0.2797,0.1886,0.5059,0.1666,0.1515,1         
